date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses
2017-12-02,965168.59151,237,138748000.0,0.00211,5760180.0,211,
2017-12-03,3301769.77031,356,136755000.0,0.00208,7261200.0,347,
2017-12-04,6103563.0515,425,139621000.0,0.002124,10447300.0,324,
2017-12-05,3520054.3515,232,140611000.0,0.002139,8749920.0,226,
2017-12-06,2431931.62409,357,135964000.0,0.002068,33314700.0,274,
2017-12-07,14351662.4073,1895,206040000.0,0.003134,44215300.0,1442,
2017-12-08,8757377.97699,854,283434000.0,0.004311,21605600.0,607,
2017-12-09,20687447.9129,476,291991000.0,0.004441,17520500.0,378,
2017-12-10,10119741.7261,1370,292723000.0,0.004452,18145200.0,1218,
2017-12-11,5445107.50075,768,291635000.0,0.004436,20137200.0,577,
2017-12-12,16167091.2414,1309,340378000.0,0.005177,48699100.0,875,
2017-12-13,37558775.1229,2257,500593000.0,0.007614,174319000.0,1511,
2017-12-14,171607723.908,4011,1081210000.0,0.016445,192817000.0,2740,
2017-12-15,45433063.0092,3117,1145310000.0,0.01742,139710000.0,2147,
2017-12-16,77597099.1853,3994,1210090000.0,0.018405,336496000.0,2783,
2017-12-17,186648335.456,4604,2476710000.0,0.03767,338445000.0,3232,
2017-12-18,393972899.181,5482,2391410000.0,0.036372,369402000.0,4007,
2017-12-19,1646624246.6,4920,2921980000.0,0.044442,235095000.0,3391,
2017-12-20,94732788.6864,5055,3080460000.0,0.046852,317194000.0,2994,
2017-12-21,480553935.526,8732,3285180000.0,0.049966,460308000.0,4955,
2017-12-22,239144899.171,6461,3002170000.0,0.045662,494380000.0,3972,
2017-12-23,172817820.701,5073,2649670000.0,0.0403,503997000.0,3650,
2017-12-24,131854227.126,4201,3384260000.0,0.051473,230931000.0,2986,
2017-12-25,78752753.2347,4057,2413370000.0,0.036706,189610000.0,2614,
2017-12-26,64968652.2379,4351,2350360000.0,0.035748,263745000.0,3032,
2017-12-27,66343519.6606,4183,2487250000.0,0.03783,173156000.0,3089,
2017-12-28,37027764.1506,5230,2414400000.0,0.036722,261941000.0,3764,
2017-12-29,61614524.7961,5963,2761910000.0,0.042007,246897000.0,4458,
2017-12-30,46868129.9873,5536,2390420000.0,0.036357,256698000.0,4112,
2017-12-31,76643912.2472,6190,2375390000.0,0.036129,375152000.0,3878,
2018-01-01,210119898.54,7041,2937740000.0,0.044682,516798000.0,4282,
2018-01-02,462512075.843,14421,3423530000.0,0.05207,1604040000.0,9535,
2018-01-03,269864131.037,15084,5170990000.0,0.078648,1136850000.0,10667,
